Category	Items
AI & Generative AI	RAG|LangChain|Gemini|OpenAI|PyTorch|Hugging Face|TensorFlow|Keras|Prompt Engineering|Vector DB
Cloud & MLOps	Azure Databricks/ML|MLflow|Google Vertex AI|Amazon SageMaker|Microsoft Fabric
Data Engineering & Architecture	Apache Spark|Apache Airflow|BigQuery|Relational DB|NoSQL DB
Automation & Infrastructure	Docker|Kubernetes|Git/GitHub|n8n|Apify|UiPath|REST APIs|Shell Scripting
Software & Mobile Development	Python|JavaScript (React, Node.js)|Dart (Flutter)|C++|R|MATLAB|Vibe Coding
Data Visualization	Tableau|Power BI|Looker
