Date	Title	Skills	Company / Institution	URL
Jan 2025 - Mar 2025	(Freelance) Freelance Data Scientist	PyTorch|REST APIs|Git/GitHub|Python	KAGURA Music Pub. (Japan)	https://kagura-music.jp/melisma-top
Jul 2020 - Jul 2024	Quantitative Analyst	TensorFlow|Google Vertex AI|JavaScript (React, Node.js)|REST APIs|Docker|Git/GitHub|Shell Scripting|Python|C++	Sapiens Technologies Ltd	
Jan 2015 - Jun 2020	Software Developer Associate	REST APIs|Git/GitHub|Shell Scripting|Python|C++|Relational DB|Power BI	Cash Algo Finance Group Ltd	https://www.cashalgo.com/
Aug 2010 - Dec 2014	Research Analyst	C++|Relational DB|R	Cash Dynamic Opportunities Investment Ltd	https://www.cfsg.com.hk/
Aug 2008 - Jul 2010	M. Phil., Mathematics	MATLAB	The Chinese University of Hong Kong	https://www.cuhk.edu.hk/english/index.html
Aug 2005 - Jul 2008	B. Sc., Mathematics	C++|R|MATLAB	The Chinese University of Hong Kong	https://www.cuhk.edu.hk/english/index.html
